location,total_sqft,bath,price,bhk
Rohini Sector 25,8125,2,65,3
"J R Designers Floors, Rohini Sector 24",6666.666667,2,50,2
other,16315.78947,2,155,2
Rohini Sector 24,7000,2,42,2
other,9538.461538,2,62,2
Rohini Sector 24,11923.07692,3,155,4
Rohini Sector 24,7407.407407,3,100,4
other,6153.846154,2,40,2
other,6903.553299,3,68,3
Rohini Sector 22,11538.46154,4,150,4
Rohini Sector 20,5636.363636,2,62,3
Rohini Sector 25,8850.574713,2,77,3
Rohini Sector 24,8730.15873,2,55,2
Rohini Sector 24,7575.757576,2,50,2
other,9609.6675,2,33.1,2
other,7121.212121,2,47,2
Rohini Sector 22,8181.818182,2,45,2
other,15454.54545,3,170,4
other,21739.13043,3,250,3
Rohini Sector 24,9230.769231,2,60,2
other,12941.17647,2,110,2
other,5000,2,45,3
other,12309.66471,1,53,1
other,11666.66667,2,105,2
other,13115.73599,2,120,2
Rohini Sector 20,6363.636364,3,70,3
Rohini Sector 25,8750,2,70,3
other,6800,1,34,1
Rohini Sector 25,178571.4286,2,50,2
other,9722.222222,4,210,4
Lajpat Nagar 1,18750,2,150,2
Lajpat Nagar,11666.66667,2,105,2
"Vikram Vihar, Lajpat Nagar",20833.33333,2,225,3
other,18133.33333,2,136,2
Lajpat Nagar 3,20689.65517,3,300,3
Lajpat Nagar,15000,2,135,2
other,11000,2,89.1,2
Lajpat Nagar,18518.51852,4,250,3
Lajpat Nagar 2,15204.67836,3,260,3
Lajpat Nagar,18181.81818,3,300,3
Lajpat Nagar,9765.625,2,125,2
Lajpat Nagar 3,16666.66667,3,210,3
other,6902.654867,2,78,2
other,19166.66667,2,115,2
Lajpat Nagar 1,13529.41176,2,115,2
Lajpat Nagar 2,17333.33333,3,260,3
other,14444.44444,2,130,2
"Vikram Vihar, Lajpat Nagar",22000,3,220,3
Lajpat Nagar 2,17555.55556,2,158,2
Lajpat Nagar 3,19658.11966,4,575,4
Lajpat Nagar 1,11111.11111,2,100,2
Lajpat Nagar 3,18750,3,300,3
"Vikram Vihar, Lajpat Nagar",19247.59405,3,220,3
"Vikram Vihar, Lajpat Nagar",20869.56522,3,240,3
Lajpat Nagar 3,21000,3,315,3
Lajpat Nagar 2,17176.47059,2,146,2
Lajpat Nagar,30000,5,2400,4
Lajpat Nagar 1,9325.842697,2,83,2
"Vikram Vihar, Lajpat Nagar",20454.54545,3,225,3
other,6133.333333,1,46,1
"Siddhartha Heights, Dwarka Sector 24",2235.294118,1,19,2
"MTNL Employees House Welfare Society, Dwarka Sector 24",3800,2,51.3,3
"Delhi Homes Yojana, Dwarka Sector 24",4246.575342,4,58.9,4
"The Elite Spire, Dwarka Sector 21",3523.809524,2,37,3
"Kunj Vihar Apartment, Dwarka Sector 12",11600,2,174,3
"Ashirwad Apartments, Dwarka Sector 12",12916.66667,3,155,3
"MTNL Employees House Welfare Society, Dwarka Sector 24",3428.571429,1,24,2
"Sunny Valley Apartments, Dwarka",10117.64706,2,172,3
other,9161.290323,2,142,3
other,9642.857143,3,135,3
other,15789.47368,4,300,4
other,9722.222222,3,210,4
other,12058.82353,3,205,4
other,12972.97297,4,240,3
other,9166.666667,2,165,4
other,9197.530864,2,149,3
other,10666.66667,3,192,4
other,9415.584416,3,145,3
other,9750,3,156,3
other,8142.857143,2,114,3
other,13695.65217,4,315,4
other,10128.20513,2,158,3
other,10666.66667,3,160,3
other,9415.584416,3,145,3
other,10000,2,105,2
other,8222.222222,2,148,3
other,4625,1,18.5,1
other,5913.043478,2,68,3
other,9311.47541,3,142,3
Lajpat Nagar 3,9888.888889,1,89,1
Lajpat Nagar 3,25862.06897,3,375,3
Lajpat Nagar 3,20689.65517,3,300,3
Lajpat Nagar 3,16666.66667,3,210,3
Lajpat Nagar 3,19658.11966,4,575,4
Lajpat Nagar 3,17543.85965,3,300,3
Lajpat Nagar 3,18750,3,300,3
Lajpat Nagar 3,21000,3,315,3
Lajpat Nagar 3,13636.36364,3,300,3
Lajpat Nagar 3,30740.74074,3,415,3
Lajpat Nagar 3,14502.92398,3,248,3
Lajpat Nagar 3,25925.92593,3,350,3
Lajpat Nagar 3,26666.66667,3,400,3
Lajpat Nagar 3,15972.22222,5,460,4
Lajpat Nagar 3,20370.37037,4,550,4
Lajpat Nagar 3,17500,3,245,3
Lajpat Nagar 3,13611.11111,3,245,3
Lajpat Nagar 3,23214.28571,3,325,3
Lajpat Nagar 3,20000,2,200,2
Lajpat Nagar,30000,5,2400,4
Lajpat Nagar 3,20000,2,200,2
Lajpat Nagar 3,11176.47059,3,190,3
Lajpat Nagar 3,16250,3,260,3
Lajpat Nagar 3,15555.55556,3,210,3
Lajpat Nagar 3,16176.47059,3,275,3
Lajpat Nagar 3,23214.28571,3,325,3
Lajpat Nagar 3,31034.48276,3,450,3
Lajpat Nagar 3,15555.55556,3,210,3
Lajpat Nagar 3,16470.58824,3,280,3
Lajpat Nagar 3,18437.5,3,295,3
Lajpat Nagar 2,17500,2,140,2
Lajpat Nagar 2,15204.67836,3,260,3
Lajpat Nagar 2,9259.259259,2,125,2
Lajpat Nagar 2,17333.33333,3,260,3
other,15333.33333,2,115,2
Lajpat Nagar 2,17176.47059,2,146,2
Lajpat Nagar 2,16190.47619,3,255,3
Lajpat Nagar 2,18507.46269,3,310,3
Lajpat Nagar 2,16296.2963,3,220,3
Lajpat Nagar 2,14888.88889,2,134,2
Lajpat Nagar 2,19444.44444,3,350,3
Lajpat Nagar 2,12222.22222,2,110,2
other,7000,2,63,2
Lajpat Nagar 2,13888.88889,2,125,2
Lajpat Nagar 2,18125,2,145,2
Lajpat Nagar 2,20454.54545,3,225,2
Lajpat Nagar 2,19135.80247,2,155,2
Lajpat Nagar 2,17333.33333,3,260,3
Lajpat Nagar 2,17555.55556,2,158,2
Lajpat Nagar 2,18181.81818,2,150,2
Lajpat Nagar 2,14444.44444,2,130,2
Lajpat Nagar 2,17142.85714,2,150,2
Lajpat Nagar 2,18518.51852,3,250,3
Lajpat Nagar 2,22000,2,165,2
Lajpat Nagar 2,11444.44444,2,103,2
Lajpat Nagar 2,19259.25926,3,260,3
Lajpat Nagar 2,12222.22222,2,110,2
Lajpat Nagar 2,15833.33333,3,285,3
Lajpat Nagar 2,12222.22222,2,110,2
Budh Vihar,12222.22222,1,110,2
Budh Vihar,5555.555556,2,45,3
other,8000,1,36,2
Budh Vihar Phase 1,43000,2,43,3
Budh Vihar,4444.444444,2,40,3
Budh Vihar Phase 1,3300,2,16.5,2
Budh Vihar,4444.444444,1,20,1
Budh Vihar,40000,2,30,2
Budh Vihar Phase 1,5185.185185,1,14,2
Budh Vihar Phase 1,4000,1,20,2
Budh Vihar Phase 1,4504.504505,2,20,2
Budh Vihar,5000,1,20,1
Budh Vihar,3566.529492,4,26,3
Budh Vihar Phase 1,1259.259259,3,51,6
other,2500,4,60,6
Budh Vihar,8888.888889,2,40,2
other,15308.64198,3,62,2
Budh Vihar Phase 1,5255.255255,2,35,1
other,7600,2,76,2
Rohini Sector 24,9926.470588,3,135,4
Rohini Sector 24,8064.516129,3,125,4
Rohini Sector 23,7647.058824,2,65,3
Rohini Sector 23,10138.24885,4,220,4
Rohini Sector 23,8333.333333,2,60,3
Rohini Sector 23,8588.235294,2,73,3
Rohini Sector 23,8000,2,76,3
Rohini Sector 23,8695.652174,4,200,4
Rohini Sector 22,11538.46154,4,150,4
Rohini Sector 20,5636.363636,2,62,3
Rohini Sector 20,6019.417476,2,62,3
other,6571.428571,1,23,1
"J R Designers Floors, Rohini Sector 24",6666.666667,2,50,2
"J R Designers Floors, Rohini Sector 24",6527.777778,2,47,2
"J R Designers Floors, Rohini Sector 24",6875,2,55,2
"J R Designers Floors, Rohini Sector 24",5714.285714,1,20,1
"J R Designers Floors, Rohini Sector 24",7448.979592,2,73,3
"J R Designers Floors, Rohini Sector 24",8125,3,130,4
"J R Designers Floors, Rohini Sector 24",7931.034483,3,115,3
"J R Designers Floors, Rohini Sector 24",6292.134831,2,28,2
"J R Designers Floors, Rohini Sector 24",5789.473684,1,22,1
"J R Designers Floors, Rohini Sector 24",6470.588235,2,44,2
"J R Designers Floors, Rohini Sector 24",8437.5,3,135,3
"J R Designers Floors, Rohini Sector 24",6507.936508,2,41,2
"J R Designers Floors, Rohini Sector 24",8000,2,120,3
"J R Designers Floors, Rohini Sector 24",6363.636364,2,35,2
"J R Designers Floors, Rohini Sector 24",6000,3,150,4
"J R Designers Floors, Rohini Sector 24",6250,4,175,5
"J R Designers Floors, Rohini Sector 24",6333.333333,1,19,1
"J R Designers Floors, Rohini Sector 24",6875,2,55,3
"J R Designers Floors, Rohini Sector 24",7722.007722,2,100,3
"J R Designers Floors, Rohini Sector 24",6714.285714,2,47,3
"J R Designers Floors, Rohini Sector 24",6857.142857,1,24,1
"J R Designers Floors, Rohini Sector 24",8444.444444,2,38,2
"J R Designers Floors, Rohini Sector 24",10454.54545,4,230,4
"J R Designers Floors, Rohini Sector 24",10652.17391,4,245,4
"J R Designers Floors, Rohini Sector 24",8695.652174,2,100,3
"J R Designers Floors, Rohini Sector 24",6875,2,55,3
"J R Designers Floors, Rohini Sector 24",8235.294118,2,70,3
"J R Designers Floors, Rohini Sector 24",9027.777778,2,65,3
"The Leela Sky Villas, Patel Nagar",28796.92833,4,1350,5
"J R Designers Floors, Rohini Sector 24",6666.666667,2,50,2
"The Leela Sky Villas, Patel Nagar",23840.04102,4,930,4
"Uttam Nagar Floors, Uttam Nagar",4600,2,43.7,3
"Virat Residency, Dwarka Mor",4620,2,46.2,3
"Siddhartha Heights, Dwarka Sector 24",2235.294118,1,19,2
other,29166.66667,4,700,4
"MTNL Employees House Welfare Society, Dwarka Sector 24",3800,2,51.3,3
"Adarsh Homes, Dwarka Mor",5555.555556,2,30,2
"Delhi Homes Yojana, Dwarka Sector 24",4246.575342,4,58.9,4
"Kushwaha Homes, Uttam Nagar",6111.111111,2,33,2
"Godrej South Estate, Okhla",25512.29508,2,249,2
"The Elite Spire, Dwarka Sector 21",3523.809524,2,37,3
other,22222.22222,3,600,4
"Kunj Vihar Apartment, Dwarka Sector 12",11600,2,174,3
other,17586.2069,5,510,5
other,33830.84577,6,1700,5
"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510,2,55.1,3
"The Amaryllis, Karol Bagh",22026.43172,3,250,3
"The Leela Sky Villas, Patel Nagar",24718.12663,3,570,3
other,3458.823529,2,29.4,2
"Ashirwad Apartments, Dwarka Sector 12",12916.66667,3,155,3
"Sunny Valley Apartments, Dwarka",10117.64706,2,172,3
other,30555.55556,3,550,4
Vasant Kunj,13636.36364,2,150,2
Greater Kailash 1,2312.92517,4,510,4
Rohini Sector 24,8387.096774,3,130,4
Greater Kailash 1,18750,3,300,3
other,3428.571429,2,24,2
"Batla House, Okhla",122222.2222,3,55,4
other,12820.51282,4,450,4
New Friends Colony,13333.33333,4,600,4
New Friends Colony,36111.11111,4,650,4
"Maharani Bagh, New Friends Colony",36666.66667,5,2200,5
other,13953.48837,4,600,4
"Friends Colony East, New Friends Colony",22647.05882,3,385,3
"Maharani Bagh, New Friends Colony",20000,3,500,3
New Friends Colony,16666.66667,4,750,4
other,28571.42857,4,700,4
"Maharani Bagh, New Friends Colony",15458.9372,7,1600,4
"Maharani Bagh, New Friends Colony",17708.33333,4,850,3
New Friends Colony,25000,3,400,3
New Friends Colony,25714.28571,4,900,4
New Friends Colony,26666.66667,5,560,4
"Friends Colony East, New Friends Colony",32261.90476,5,1355,5
New Friends Colony,40000,3,600,3
"Maharani Bagh, New Friends Colony",20858.89571,5,1700,4
other,22727.27273,4,500,4
New Friends Colony,16571.42857,5,580,4
"Friends Colony East, New Friends Colony",18115.94203,3,375,3
"Maharani Bagh, New Friends Colony",12857.14286,3,450,3
New Friends Colony,35000,4,700,4
other,10535.71429,4,295,6
New Friends Colony,23529.41176,4,600,4
New Friends Colony,15555.55556,4,700,4
New Friends Colony,35714.28571,3,500,3
New Friends Colony,26785.71429,5,750,4
other,19444.44444,4,525,4
New Friends Colony,12222.22222,4,550,4
"Maharani Bagh, New Friends Colony",16666.66667,4,1200,4
"Kailash Colony, Greater Kailash",23222.57949,4,650,4
"Kailash Colony, Greater Kailash",28301.88679,4,750,4
"Kailash Colony, Greater Kailash",21590.90909,4,475,4
"Kailash Colony, Greater Kailash",20000,5,700,5
"Kailash Colony, Greater Kailash",21590.90909,4,475,4
"Kailash Colony, Greater Kailash",18181.81818,4,400,4
"Kailash Colony, Greater Kailash",24285.71429,4,850,4
"Kailash Colony, Greater Kailash",18055.55556,3,260,3
"Kailash Colony, Greater Kailash",11111.11111,4,350,4
"Kailash Colony, Greater Kailash",22222.22222,2,200,2
"Kailash Colony, Greater Kailash",21409.21409,5,790,4
"Kailash Colony, Greater Kailash",14166.66667,2,170,3
"Kailash Colony, Greater Kailash",10555.55556,4,475,4
"Kailash Colony, Greater Kailash",15362.62951,4,430,4
"Kailash Colony, Greater Kailash",19259.25926,3,260,3
"Kailash Colony, Greater Kailash",20833.33333,3,250,3
"Kailash Colony, Greater Kailash",23426.73404,5,510,4
"Kailash Colony, Greater Kailash",26666.66667,3,400,3
"Kailash Colony, Greater Kailash",14062.5,3,225,3
"Kailash Colony, Greater Kailash",15555.55556,4,700,4
"Kailash Colony, Greater Kailash",20930.23256,4,450,4
"Kailash Colony, Greater Kailash",24252.49169,4,511,4
"Kailash Colony, Greater Kailash",22173.91304,3,255,3
"Kailash Colony, Greater Kailash",21370.96774,3,265,3
"Kailash Colony, Greater Kailash",15000,2,150,2
"Kailash Colony, Greater Kailash",12222.22222,4,550,4
"Kailash Colony, Greater Kailash",22608.69565,3,260,3
"Kailash Colony, Greater Kailash",19000,4,380,4
"Kailash Colony, Greater Kailash",16111.11111,5,725,4
"Kailash Colony, Greater Kailash",21666.66667,5,650,4
other,6571.428571,2,46,2
other,12266.66667,2,92,2
other,7037.037037,3,95,4
"Naveen Shahdara, Shahdara",5000,2,45,2
other,6701.030928,2,65,3
other,5650,2,56.5,3
"Naveen Shahdara, Shahdara",6526.315789,3,93,3
Shahdara,6136.363636,2,27,2
other,6391.347099,2,65,2
other,8923.076923,2,58,2
Shahdara,5789.473684,2,55,3
"Yamuna Vihar, Shahdara",7407.407407,2,60,3
other,6000,2,45,2
Shahdara,4141.414141,2,41,2
other,4750,2,38,3
Shahdara,4888.888889,1,33,2
other,5197.132616,1,29,2
other,4494.382022,1,20,2
other,4305.555556,1,15.5,2
other,8370.37037,3,113,4
other,5294.117647,2,45,3
other,3900.70922,1,33,2
other,8846.153846,3,115,4
other,6666.666667,2,60,3
other,8571.428571,2,90,3
other,5294.117647,2,45,2
Shahdara,8484.848485,3,140,4
other,6347.826087,2,73,2
Shahdara,3837.303192,1,19,1
"Naveen Shahdara, Shahdara",6647.673314,2,70,3
"Yamuna Vihar, Shahdara",7407.407407,2,60,3
"Yamuna Vihar, Shahdara",8533.333333,2,64,1
"Yamuna Vihar, Shahdara",5000,1,27,2
"Yamuna Vihar, Shahdara",8701.472557,2,65,2
"Yamuna Vihar, Shahdara",5555.555556,1,40,2
"Yamuna Vihar, Shahdara",7963.125421,1,30,1
"Yamuna Vihar, Shahdara",4444.444444,2,50,2
"Yamuna Vihar, Shahdara",8415.147265,2,60,2
"Yamuna Vihar, Shahdara",6944.444444,1,25,1
"Yamuna Vihar, Shahdara",7222.222222,2,65,2
"Yamuna Vihar, Shahdara",11220.19635,1,80,3
"Yamuna Vihar, Shahdara",5357.142857,1,27,2
"Yamuna Vihar, Shahdara",64285.71429,2,45,1
"Yamuna Vihar, Shahdara",6705.882353,2,57,3
"Yamuna Vihar, Shahdara",10288.06584,3,250,4
"Yamuna Vihar, Shahdara",28282.82828,3,700,3
"Yamuna Vihar, Shahdara",8922.558923,4,265,7
"Yamuna Vihar, Shahdara",8222.222222,2,185,3
"Yamuna Vihar, Shahdara",20000,3,300,5
"Yamuna Vihar, Shahdara",14550.26455,2,220,2
other,22500,2,90,2
"Yamuna Vihar, Shahdara",30092.59259,3,650,3
"Yamuna Vihar, Shahdara",35714.28571,2,225,3
"Yamuna Vihar, Shahdara",26851.85185,3,87,6
"Yamuna Vihar, Shahdara",30555.55556,5,220,6
"Yamuna Vihar, Shahdara",27407.40741,2,185,4
"Yamuna Vihar, Shahdara",22857.14286,1,160,2
"Yamuna Vihar, Shahdara",23703.7037,3,160,4
"Yamuna Vihar, Shahdara",12500,2,90,4
other,5294.117647,2,45,2
Laxmi Nagar,7490.636704,2,60,3
Laxmi Nagar,6000,2,27,1
Laxmi Nagar,6500,2,65,3
Laxmi Nagar,4040.40404,2,40,3
Laxmi Nagar,6190.47619,1,26,2
Laxmi Nagar,7777.777778,1,35,2
Laxmi Nagar,7500,2,75,2
Laxmi Nagar,7777.777778,2,70,3
Laxmi Nagar,5625,2,45,3
Laxmi Nagar,7638.888889,3,55,3
Laxmi Nagar,6000,1,27,2
Laxmi Nagar,3555.555556,2,24,2
Laxmi Nagar,6764.705882,3,115,4
"Guru Angad Nagar West, Laxmi Nagar",6545.454545,2,36,2
"Guru Angad Nagar West, Laxmi Nagar",4392.764858,2,17,1
other,5555.555556,1,25,2
Laxmi Nagar,7333.333333,2,66,4
Laxmi Nagar,7400,1,37,2
other,7936.507937,1,35,2
other,6750,2,54,3
other,5666.666667,2,25.5,2
other,12500,3,125,3
Laxmi Nagar,7832.167832,2,56,2
Laxmi Nagar,11666.66667,2,70,2
Laxmi Nagar,6481.481481,1,35,2
other,112179.4872,4,350,4
Laxmi Nagar,11111.11111,2,90,3
"Guru Angad Nagar West, Laxmi Nagar",8518.518519,1,23,1
Laxmi Nagar,6666.666667,2,60,3
Laxmi Nagar,6000,2,60,3
Uttam Nagar,4907.407407,2,26.5,2
"Uttam Nagar Floors, Uttam Nagar",4600,2,43.7,3
"Virat Residency, Dwarka Mor",4620,2,46.2,3
"Adarsh Homes, Dwarka Mor",5555.555556,2,30,2
"Kushwaha Homes, Uttam Nagar",6111.111111,2,33,2
"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510,2,55.1,3
Dwarka Mor,6400,2,32,2
Uttam Nagar West,4814.814815,2,26,2
Uttam Nagar,5128.205128,2,40,3
Uttam Nagar West,4111.111111,1,18.5,2
Uttam Nagar,4722.222222,1,17,1
other,3111.111111,2,28,3
Uttam Nagar West,4343.434343,2,21.5,2
other,5666.666667,3,68,4
Uttam Nagar,6200,2,62,3
Uttam Nagar,5000,2,31,2
Dwarka Mor,5000,2,34,3
other,4968.944099,2,40,2
other,6584.36214,2,48,2
Uttam Nagar,4629.62963,2,25,2
Uttam Nagar,5555.555556,1,20,1
Uttam Nagar West,3454.545455,2,19,2
other,5794.205794,2,58,3
Dwarka Mor,6444.444444,2,29,2
Uttam Nagar West,3636.363636,1,20,2
other,4727.272727,2,26,2
Uttam Nagar,4296.296296,1,29,2
Uttam Nagar,5470.08547,2,32,2
other,6666.666667,2,54,3
Dwarka Mor,4967.320261,2,38,3
"The Leela Sky Villas, Patel Nagar",28796.92833,4,1350,5
"The Leela Sky Villas, Patel Nagar",23840.04102,4,930,4
other,117142.8571,3,82,2
Patel Nagar West,10000,2,80,3
Patel Nagar West,10555.55556,2,95,3
Patel Nagar West,11904.7619,5,200,4
