location,total_sqft,bath,price,bhk
Mahavir Enclave Part 1,7272.727273,3,72,4
Mahavir Enclave Part 1,6818.181818,2,75,3
Mahavir Enclave,5909.090909,2,65,3
Mahavir Enclave Part 1,6641.366224,2,35,2
other,6500,2,65,2
Mahavir Enclave Part 1,6200,2,62,3
Mahavir Enclave Part 1,5555.555556,1,25,1
Mahavir Enclave,5000,2,30,2
Mahavir Enclave Part 1,6315.789474,2,60,3
Mahavir Enclave Part 1,5614.035088,2,48,3
Mahavir Enclave,4922.077922,2,37.9,2
Mahavir Enclave,5185.185185,2,42,3
Mahavir Enclave,4084.507042,2,29,2
Mahavir Enclave Part 1,5263.157895,2,50,3
Mahavir Enclave Part 1,4666.666667,1,21,1
Mahavir Enclave Part 1,6400,2,32,2
Mahavir Enclave Part 1,5000,1,30,2
Mahavir Enclave Part 1,5476.190476,1,23,1
Mahavir Enclave Part 1,6555.555556,2,59,3
Mahavir Enclave Part 1,5820.10582,2,55,3
other,6194.690265,2,35,2
other,3777.777778,1,17,2
Mahavir Enclave,4302.325581,1,18.5,1
Mahavir Enclave,4181.818182,2,23,2
Mahavir Enclave,4691.358025,2,38,3
Mahavir Enclave Part 1,6250,2,45,3
other,6111.111111,1,22,2
Mahavir Enclave,6341.463415,2,52,3
other,4793.028322,2,22,2
other,3968.253968,2,15,1
other,4888.888889,1,22,1
other,4222.222222,2,38,2
other,5000,1,18,1
Narela,5091.806158,2,28.5,2
Narela,7142.857143,1,25,1
Narela,9589.041096,1,35,1
"DDA Lig Flats, Narela",5128.205128,1,20,1
other,8571.428571,1,30,1
"DDA Lig Flats, Narela",9523.809524,1,20,1
"DDA Lig Flats, Narela",70000,1,35,1
other,3600,1,18,1
"DDA Lig Flats, Narela",4571.428571,1,16,1
"DDA Lig Flats, Narela",4221.635884,1,16,1
Narela,8445.739082,1,20,1
other,3370.786517,1,15,1
other,6635.93785,1,30,2
Narela,4257.142857,1,14.9,1
"DDA Lig Flats, Narela",8009.153318,1,35,1
other,65573.77049,3,40,3
Narela,3535.353535,2,17.5,2
other,5111.111111,2,46,2
"DDA Lig Flats, Narela",5142.857143,1,18,1
Narela,3247.863248,2,19,2
other,5050.505051,1,10,1
"DDA Lig Flats, Narela",204.0816327,1,10,1
other,481.3633674,1,10,1
"DDA Lig Flats, Narela",70000,1,35,1
Narela,5050.505051,2,50,3
Narela,5176.470588,1,22,1
Malviya Nagar,17333.33333,2,130,2
"Shivalik, Malviya Nagar",24285.71429,3,340,3
"Geetanjali Enclave, Malviya Nagar",16666.66667,4,600,4
"Geetanjali Enclave, Malviya Nagar",24833.33333,5,745,4
"Geetanjali Enclave, Malviya Nagar",27272.72727,5,750,4
"Geetanjali Enclave, Malviya Nagar",30487.80488,4,625,4
other,22333.33333,4,670,4
Malviya Nagar,10000,2,85,2
Malviya Nagar,15333.33333,2,115,2
other,20192.30769,5,525,4
Malviya Nagar,15000,2,120,2
Malviya Nagar,19454.54545,2,107,2
Malviya Nagar,12857.14286,2,90,2
"Geetanjali Enclave, Malviya Nagar",43177.89292,4,1000,3
other,6888.888889,2,62,3
Malviya Nagar,170000,2,170,3
other,13888.88889,3,125,2
Malviya Nagar,8666.666667,2,130,2
other,6461.538462,2,42,3
Malviya Nagar,18000,4,360,4
Malviya Nagar,4600,1,23,1
Malviya Nagar,7200,2,81,2
Malviya Nagar,7692.307692,3,100,3
"Geetanjali Enclave, Malviya Nagar",25000,5,625,4
"Geetanjali Enclave, Malviya Nagar",29545.45455,5,650,4
Malviya Nagar,15503.87597,2,200,3
"Geetanjali Enclave, Malviya Nagar",25555.55556,4,575,4
"Shivalik, Malviya Nagar",22222.22222,3,300,3
"Shivalik, Malviya Nagar",21428.57143,3,300,3
"Shivalik, Malviya Nagar",17647.05882,3,300,3
"Dilshad Colony, Dilshad Garden",7333.333333,1,33,1
other,9800,1,73.5,2
other,8333.333333,1,125,4
"Dilshad Colony, Dilshad Garden",8750,1,35,1
"Dilshad Colony, Dilshad Garden",10000,2,65,2
"Dilshad Colony, Dilshad Garden",7666.666667,2,69,2
"Dilshad Colony, Dilshad Garden",9000,1,36,1
"Dilshad Colony, Dilshad Garden",15000,2,135,3
"DDA Flats Block A, Dilshad Garden",9200,2,92,3
"Dilshad Colony, Dilshad Garden",6172.839506,1,25,1
"DDA Flats Block A, Dilshad Garden",10000,2,170,3
Dilshad Garden,11287.5,2,90.3,3
"Dilshad Colony, Dilshad Garden",8639.991081,2,93,3
other,8666.666667,1,65,2
"Dilshad Colony, Dilshad Garden",7173.913043,1,33,2
"Dilshad Colony, Dilshad Garden",6486.486486,1,24,1
"Dilshad Colony, Dilshad Garden",8333.333333,3,150,3
Dilshad Garden,6481.481481,1,70,3
other,12000,1,42,1
Dilshad Garden,11600,1,58,2
"Dilshad Colony, Dilshad Garden",5333.333333,2,48,3
"Dilshad Colony, Dilshad Garden",9375,2,75,2
other,8571.428571,1,30,1
Dilshad Garden,9987.086465,1,43,1
"Dilshad Colony, Dilshad Garden",5200,1,26,1
Dilshad Garden,4827.586207,2,70,2
"Dilshad Colony, Dilshad Garden",7500,2,60,2
"Dilshad Colony, Dilshad Garden",6700,2,67,2
other,9500,3,95,3
"DDA Flats Block A, Dilshad Garden",10625,2,170,3
Vasundhara Enclave,8888.888889,2,80,2
Vasundhara Enclave,8000,3,120,3
Vasundhara Enclave,8571.428571,2,90,2
other,8846.153846,2,115,3
other,12500,3,200,4
other,9500,2,85.5,2
other,7777.777778,4,105,4
other,12000,2,120,3
other,7857.142857,2,110,3
Vasundhara Enclave,12307.69231,2,120,3
other,10000,2,90,2
Vasundhara Enclave,9090.909091,2,100,2
Vasundhara Enclave,8526.315789,2,81,2
Vasundhara Enclave,7076.923077,3,92,3
Vasundhara Enclave,9732.693626,3,142,3
other,7500,2,75,2
other,8636.363636,2,95,2
other,9655.172414,2,140,3
other,8000,3,116,3
Vasundhara Enclave,10434.78261,3,120,3
Vasundhara Enclave,9615.384615,2,75,2
other,7538.461538,2,98,3
other,8888.888889,3,120,3
other,10416.66667,2,125,3
other,11301.36986,3,165,3
Vasundhara Enclave,8219.178082,3,120,3
Vasundhara Enclave,6545.454545,2,72,2
other,10000,3,150,3
other,9523.809524,2,100,2
other,8148.148148,3,110,3
"Godrej South Estate, Okhla",16466.66667,2,247,2
"Godrej South Estate, Okhla",25512.29508,2,249,2
"Abul Fazal Enclave Part 1, Okhla",6666.666667,1,36,2
"Batla House, Okhla",3777.777778,1,17,1
"Sukhdev Vihar, Okhla",12222.22222,2,110,2
"Sukhdev Vihar, Okhla",30000,4,750,4
"Godrej South Estate, Okhla Phase 1",25318.65518,2,248,2
"Godrej South Estate, Okhla Phase 1",26349.20635,2,249,2
"Godrej South Estate, Okhla Phase 1",25512.29508,2,249,2
"Godrej South Estate, Okhla",16917.04768,2,259,2
"Sukhdev Vihar, Okhla",11700,2,117,2
"Sukhdev Vihar, Okhla",18000,2,135,3
"Abul Fazal Enclave Part-II, Okhla",6111.111111,2,55,3
"Godrej South Estate, Okhla",19841.26984,2,300,2
"Abul Fazal Enclave Part 1, Okhla",141428.5714,2,49.5,3
"Sukhdev Vihar, Okhla",10666.66667,2,160,3
"Sukhdev Vihar, Okhla",10319.91744,4,300,4
"Sukhdev Vihar, Okhla",18552.0362,3,410,4
"Abul Fazal Enclave Part-II, Okhla",5066.666667,2,38,2
"Godrej South Estate, Okhla Phase 1",27354.81047,5,689,4
other,3061.22449,2,18,2
other,2777.777778,1,15,2
"Sukhdev Vihar, Okhla",11363.63636,3,125,3
"Batla House, Okhla",2909.090909,1,16,2
other,3200,2,24,3
"Abul Fazal Enclave Part 1, Okhla",5555.555556,2,70,3
"Abul Fazal Enclave Part-II, Okhla",4592.592593,2,31,2
"Sukhdev Vihar, Okhla",17901.23457,2,145,2
"Sukhdev Vihar, Okhla",19523.80952,5,615,4
"Sukhdev Vihar, Okhla",13750,4,275,4
"The Amaryllis, Karol Bagh",14366.19718,3,255,3
"The Amaryllis, Karol Bagh",22026.43172,3,250,3
"The Amaryllis, Karol Bagh",14776.35783,2,185,2
"The Amaryllis, Karol Bagh",19850,4,397,4
"Dev Nagar, Karol Bagh",12830.18868,1,68,4
other,4909.90991,2,65.4,3
"The Amaryllis, Karol Bagh",21632.25172,3,220,3
"The Amaryllis, Karol Bagh",14366.19718,3,255,3
"The Amaryllis, Karol Bagh",17223.91084,2,170,2
"The Amaryllis, Karol Bagh",14382.84519,3,275,3
"The Amaryllis, Karol Bagh",14075.63025,7,737,5
"The Amaryllis, Karol Bagh",18645.27629,4,523,4
other,10666.66667,3,160,3
Karol Bagh,11718.75,3,150,3
"The Amaryllis, Karol Bagh",14366.19718,3,255,3
Karol Bagh,14814.81481,2,100,2
other,8680.555556,2,50,2
Karol Bagh,16583.74793,3,200,3
other,13998.25022,2,160,2
Karol Bagh,15942.02899,1,55,1
"Dev Nagar, Karol Bagh",9722.222222,1,70,2
Karol Bagh,8760.683761,2,41,2
other,15000,3,240,3
other,13157.89474,2,125,2
"Dev Nagar, Karol Bagh",7289.719626,1,39,2
Karol Bagh,12083.33333,2,145,3
"The Amaryllis, Karol Bagh",13324.45037,2,200,3
"The Amaryllis, Karol Bagh",21585.90308,3,245,3
"The Amaryllis, Karol Bagh",17416.66667,2,209,3
"The Amaryllis, Karol Bagh",19590.90909,3,431,3
other,14516.12903,3,180,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16655.56296,5,500,4
"New Moti Nagar, Kirti Nagar",13703.7037,2,185,3
"New Moti Nagar, Kirti Nagar",20217.3913,5,465,4
"New Moti Nagar, Kirti Nagar",12246.3261,3,175,3
"New Moti Nagar, Kirti Nagar",17489.71193,5,425,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",10689.65517,3,155,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",12000,2,150,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",14285.71429,4,400,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",12150.66829,3,200,3
"New Moti Nagar, Kirti Nagar",7444.444444,2,67,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",12800,2,160,3
"New Moti Nagar, Kirti Nagar",8888.888889,2,80,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15723.27044,2,250,3
"New Moti Nagar, Kirti Nagar",25252.52525,2,250,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16432.95355,5,375,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",19841.26984,3,250,3
"New Moti Nagar, Kirti Nagar",15785.86136,3,230,3
"New Moti Nagar, Kirti Nagar",12500,2,175,3
other,20229.88506,4,440,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",10344.82759,3,150,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15178.57143,5,425,4
"New Moti Nagar, Kirti Nagar",5806.445619,2,50,2
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16652.0596,5,380,4
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",10838.56246,3,190,3
"New Moti Nagar, Kirti Nagar",16359.53366,5,435,4
"New Moti Nagar, Kirti Nagar",12580.64516,2,195,3
"DLF Capital Greens, New Moti Nagar, Kirti Nagar",9659.863946,2,142,3
"New Moti Nagar, Kirti Nagar",20227.92023,2,142,3
"New Moti Nagar, Kirti Nagar",11862.9174,2,135,2
Sheikh Sarai Phase 1,13125,3,210,3
Sheikh Sarai Phase 1,14062.5,3,225,3
other,15200,4,190,2
other,9259.259259,2,75,3
"Savitri Nagar Village, Sheikh Sarai",6837.606838,2,40,2
"Savitri Nagar Village, Sheikh Sarai",4705.882353,3,80,3
Sheikh Sarai Phase 1,10555.55556,4,190,3
other,11666.66667,1,70,1
"Panchsheel Vihar, Sheikh Sarai",4640,3,58,3
"Savitri Nagar Village, Sheikh Sarai",13333.33333,2,80,3
Sheikh Sarai Phase 1,11750,4,188,3
"Panchsheel Vihar, Sheikh Sarai",5454.545455,2,60,3
"Panchsheel Vihar, Sheikh Sarai",4888.888889,1,22,1
"Savitri Nagar Village, Sheikh Sarai",7602.339181,2,65,3
Sheikh Sarai Phase 1,18193.52961,2,235,3
Sheikh Sarai Phase 1,12307.69231,2,160,2
Sheikh Sarai Phase 1,14814.81481,3,200,3
Sheikh Sarai Phase 1,6111.111111,2,55,2
Sheikh Sarai Phase 1,15882.35294,2,135,2
Sheikh Sarai Phase 1,13636.36364,3,225,3
"Panchsheel Vihar, Sheikh Sarai",5846.153846,2,38,2
other,7301.587302,2,46,2
Sheikh Sarai Phase 1,14000,1,175,2
"Panchsheel Vihar, Sheikh Sarai",3055.555556,3,55,4
Sheikh Sarai Phase 1,15000,3,225,3
Sheikh Sarai Phase 1,11363.63636,2,125,2
Sheikh Sarai Phase 1,13571.42857,2,190,3
Sheikh Sarai Phase 1,11923.07692,2,155,2
Sheikh Sarai Phase 1,12272.72727,2,135,2
Sheikh Sarai Phase 1,13125,3,210,3
other,22222.22222,4,500,4
Punjabi Bagh,16396.60494,3,425,4
Punjabi Bagh West,25277.77778,4,455,4
Punjabi Bagh,13529.41176,3,230,3
Punjabi Bagh West,7317.073171,3,120,3
Punjabi Bagh West,13608.08709,3,350,3
other,11904.7619,3,250,3
"Punjabi Bagh Extension, Punjabi Bagh",17901.23457,3,290,3
Punjabi Bagh West,32000,4,800,4
Punjabi Bagh West,9111.111111,3,205,3
other,21472.39264,4,525,4
Punjabi Bagh,16666.66667,4,375,4
other,9375,2,75,2
other,22413.7931,3,325,3
"Punjabi Bagh Extension, Punjabi Bagh",17013.88889,3,245,3
Punjabi Bagh West,12452.10728,5,650,5
Punjabi Bagh,15277.77778,3,275,3
Punjabi Bagh West,25813.69248,5,1150,5
"Punjabi Bagh Extension, Punjabi Bagh",143589.7436,3,280,3
"Punjabi Bagh Extension, Punjabi Bagh",9909.66719,1,80,2
Punjabi Bagh West,21457.14286,4,751,4
other,7800,2,78,2
other,16666.66667,2,150,2
Punjabi Bagh East,15277.77778,3,275,3
Punjabi Bagh West,1469.723692,3,250,3
Punjabi Bagh East,11111.11111,4,260,4
Punjabi Bagh East,17407.40741,3,235,3
other,9051.724138,1,42,3
Punjabi Bagh East,10482.18029,2,100,2
other,16017.31602,2,185,2
Alaknanda,23571.42857,2,165,2
"Shivalik Apartments, Alaknanda",14081.63265,2,138,2
"Narmada Apartment, Alaknanda",15555.55556,3,210,3
other,12500,3,225,3
"Aravali Apartments, Alaknanda",15483.85498,2,150,2
"Narmada Apartment, Alaknanda",16000,3,200,3
"Aravali Apartments, Alaknanda",11111.11111,3,200,3
"Shivalik Apartments, Alaknanda",18571.42857,2,260,3
"Narmada Apartment, Alaknanda",19500,3,195,3
other,11944.44444,2,215,4
Alaknanda,17666.66667,3,265,3
"Narmada Apartment, Alaknanda",12500,3,200,3
other,12857.14286,3,180,3
Alaknanda,13571.42857,2,190,3
other,13518.51852,4,365,4
Alaknanda,13636.36364,2,150,2
Alaknanda,14583.33333,2,175,2
Alaknanda,10000,2,140,2
other,14000,3,210,3
Alaknanda,11818.18182,2,156,3
other,14615.38462,3,190,3
"Narmada Apartment, Alaknanda",14347.82609,2,165,2
Alaknanda,13194.44444,3,190,3
"Nilgiri Apartment, Alaknanda",11785.71429,2,165,2
Alaknanda,6666.666667,1,30,1
other,11538.46154,2,150,2
"Nilgiri Apartment, Alaknanda",11916.66667,2,143,2
"Nilgiri Apartment, Alaknanda",14230.76923,2,185,3
other,13571.42857,3,190,3
Alaknanda,13571.42857,3,190,3
"Govindpuri Extension, Kalkaji",6600,2,33,2
"Govindpuri Extension, Kalkaji",5428.571429,2,38,2
"Govindpuri Extension, Kalkaji",7777.777778,3,70,3
Kalkaji,13095.2381,3,165,3
"Govindpuri Extension, Kalkaji",8421.052632,2,80,3
other,13827.16049,1,56,1
Kalkaji,11666.66667,2,210,2
Kalkaji,16153.84615,3,210,3
"Govindpuri Extension, Kalkaji",8600,3,86,3
other,7333.333333,2,66,3
"Govindpuri Extension, Kalkaji",7777.777778,3,140,3
"Govindpuri Extension, Kalkaji",6527.777778,2,47,2
other,20202.0202,3,300,3
Kalkaji,16250,3,260,3
"Deshbandhu Apartments, Kalkaji",15416.66667,2,185,2
other,7222.222222,2,65,2
Kalkaji,16666.66667,2,150,2
other,10000,2,80,2
"Deshbandhu Apartments, Kalkaji",14000,3,161,2
"Govindpuri Extension, Kalkaji",7555.555556,3,68,3
Kalkaji Extention,6355.140187,2,68,3
Kalkaji Extention,8571.428571,2,90,2
other,18000,2,180,2
other,17741.93548,3,275,3
other,10384.61538,2,135,3
Kalkaji,17283.95062,2,140,2
Kalkaji,10000,2,90,2
"Deshbandhu Apartments, Kalkaji",13333.33333,2,160,2
Kalkaji Extention,11000,3,110,2
"Govindpuri Extension, Kalkaji",7638.888889,2,55,2
Hauz Khas,18849.20635,3,475,3
Hauz Khas,26470.58824,4,450,3
Hauz Khas,24166.66667,3,435,3
other,30000,5,1800,5
Hauz Khas,44444.44444,4,800,4
other,18750,3,375,3
Hauz Khas,29041.62633,4,600,4
"Hauz Khas Enclave, Hauz Khas",34634.14634,3,710,3
"Safdarjung Development Area, Hauz Khas",16818.18182,3,185,3
Hauz Khas,15555.55556,4,700,4
"Hauz Khas Enclave, Hauz Khas",18888.88889,5,850,4
other,29230.76923,5,1900,4
other,31034.48276,6,1350,4
Hauz Khas,20000,3,350,3
"Safdarjung Development Area, Hauz Khas",18055.55556,4,650,4
"Hauz Khas Enclave, Hauz Khas",22916.66667,2,275,2
Hauz Khas,30000,4,450,3
"Hauz Khas Enclave, Hauz Khas",44444.44444,4,1000,4
Hauz Khas,26111.11111,4,470,3
Hauz Khas,17187.5,4,275,3
Hauz Khas,25000,5,700,4
other,21470.58824,3,365,3
"Hauz Khas Enclave, Hauz Khas",27083.33333,5,650,4
other,17676.76768,4,350,3
"Hauz Khas Enclave, Hauz Khas",26666.66667,5,560,4
"Hauz Khas Enclave, Hauz Khas",20370.37037,4,1100,4
"Safdarjung Development Area, Hauz Khas",19200,3,240,3
Hauz Khas,44565.21739,4,1025,4
"Hauz Khas Enclave, Hauz Khas",37037.03704,4,1000,4
"Safdarjung Development Area, Hauz Khas",31034.48276,3,450,3
Chittaranjan Park,13829.27992,3,290,3
other,20400,3,255,3
Chittaranjan Park,20937.5,3,335,3
Chittaranjan Park,24038.46154,5,625,4
Chittaranjan Park,27941.17647,3,475,3
Chittaranjan Park,13172.04301,3,147,3
Chittaranjan Park,16822.42991,3,180,2
Chittaranjan Park,18750,3,225,3
Chittaranjan Park,18333.33333,3,220,3
other,18500,3,222,3
Chittaranjan Park,15517.24138,3,225,3
Chittaranjan Park,7500,2,75,2
other,12345.67901,4,300,4
Chittaranjan Park,6878.306878,1,65,2
Chittaranjan Park,21212.12121,3,350,3
other,12962.96296,2,175,3
Chittaranjan Park,22857.14286,5,600,4
Chittaranjan Park,22222.22222,4,400,4
Chittaranjan Park,92000,3,115,3
Chittaranjan Park,15625,3,225,3
Chittaranjan Park,15000,4,285,3
Chittaranjan Park,16111.11111,3,290,3
Chittaranjan Park,12916.66667,2,155,3
other,14444.44444,3,260,3
Chittaranjan Park,13750,3,165,3
Chittaranjan Park,13355.99806,5,550,4
Chittaranjan Park,11904.7619,2,125,3
Chittaranjan Park,20000,3,175,3
other,11616.16162,2,115,2
Chittaranjan Park,1674.208145,3,185,3
